nodes;n;p;time
2;800;20;158.565,158.568,158.577,158.577,158.566,158.579,158.573,158.564,158.567,158.573,158.585,158.588,158.594,158.59,158.6,158.575,158.59,158.589,158.591,158.58
2;800;20;146.271,146.267,146.264,146.264,146.27,146.266,146.265,146.272,146.272,146.265,146.265,146.276,146.275,146.275,146.272,146.26,146.283,146.275,146.278,146.272
2;800;20;131.172,131.177,131.174,131.171,131.177,131.176,131.175,131.178,131.176,131.168,131.176,131.169,131.176,131.168,131.173,131.178,131.175,131.175,131.175,131.171
2;800;20;129.892,129.891,129.893,129.895,129.893,129.9,129.895,129.893,129.89,129.893,129.897,129.903,129.904,129.893,129.896,129.899,129.898,129.896,129.894,129.885
2;1600;2;972.628,972.612
2;1600;2;957.9,957.896
2;1600;2;979.402,979.412
2;1600;2;958.725,958.734
2;1600;2;953.106,953.108
2;1600;4;590.037,590.036,590.056,590.054
2;1600;4;585.594,585.596,585.606,585.605
2;1600;4;575.967,575.972,575.974,575.975
2;1600;4;599.286,599.285,599.305,599.301
2;1600;4;594.005,594.008,594.016,594.021
2;1600;8;440.281,440.291,440.285,440.286,440.296,440.302,440.296,440.299
2;1600;8;434.083,434.088,434.088,434.089,434.08,434.086,434.084,434.081
2;1600;8;437.078,437.091,437.088,437.074,437.095,437.093,437.091,437.094
2;1600;8;433.745,433.741,433.744,433.748,433.746,433.75,433.747,433.749
2;1600;8;431.304,431.304,431.303,431.291,431.316,431.32,431.319,431.319
2;1600;12;420.342,420.349,420.351,420.35,420.348,420.346,420.366,420.37,420.357,420.359,420.357,420.362
2;1600;12;428.361,428.367,428.361,428.365,428.362,428.367,428.374,428.38,428.373,428.376,428.372,428.373
2;1600;12;413.614,413.616,413.611,413.616,413.621,413.619,413.617,413.609,413.618,413.616,413.615,413.619
2;1600;12;437.235,437.236,437.242,437.235,437.235,437.236,437.246,437.241,437.24,437.24,437.243,437.243
2;1600;12;424.752,424.757,424.75,424.755,424.756,424.758,424.753,424.753,424.755,424.755,424.756,424.756
2;1600;16;356.343,356.348,356.345,356.344,356.351,356.348,356.348,356.345,356.343,356.346,356.348,356.35,356.347,356.351,356.346,356.347
